Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Michel, FM; Ehm, L; Liu, G; Han, WQ; Antao, SM; Chupas, PJ; Lee, PL; Knorr, Karsten; Eulert, H; Kim, J; ",Similarities in 2-and 6-line ferrihydrite based on pair distribution function analysis of X-ray total scattering,Chemistry of Materials,19,6,1489-1496,2007,American Chemical Society
"Nyman, May; Celestian, Aaron J; Parise, John B; Holland, Gregory P; Alam, Todd M; ",Solid-state structural characterization of a rigid framework of lacunary heteropolyniobates,Inorganic chemistry,45,3,1043-1052,2006,ACS Publications
"Colligan, Marek; Lee, Yongjae; Vogt, Thomas; Celestian, Aaron J; Parise, John B; Marshall, William G; Hriljac, Joseph A; ",High-pressure neutron diffraction study of superhydrated natrolite,The Journal of Physical Chemistry B,109,39,18223-18225,2005,ACS Publications
"Celestian, Aaron J; Parise, John B; Goodell, Carmen; Tripathi, Akhilesh; Hanson, Jonathan; ","Time-Resolved Diffraction Studies of Ion Exchange: K+ and Na+ Exchange into (Al, Ge) Gismondine (GIS) Na24Al24Ge24O96⊙ 40H2O and K8Al8Ge8O32⊙ 8H2O",Chemistry of materials,16,11,2244-2254,2004,ACS Publications
"Cole, Jennifer M; Nienstedt, Jessica; Spataro, Glenn; Rasbury, E Troy; Lanzirotti, Antonio; Celestian, Aaron J; Nilsson, Melanie; Hanson, Gilbert N; ",Phosphor imaging as a tool for in situ mapping of ppm levels of uranium and thorium in rocks and minerals,Chemical Geology,193,1-2,127-136,2003,Elsevier
"Celestian, AJ; Medvedev, DG; Tripathi, A; Parise, JB; Clearfield, A; ",Optimizing synthesis of Na2Ti2SiO7· 2H2O (Na-CST) and ion exchange pathways for Cs0. 4H1. 6Ti2SiO7· H2O (Cs-CST) determined from in situ synchrotron X-ray powder diffraction,Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms,238,1-4,61-69,2005,North-Holland
"Celestian, Aaron J; Kubicki, James D; Hanson, Jonathon; Clearfield, Abraham; Parise, John B; ",The mechanism responsible for extraordinary Cs ion selectivity in crystalline silicotitanate,Journal of the American Chemical Society,130,35,11689-11694,2008,American Chemical Society
"Medvedev, Dmitri G; Tripathi, Akhilesh; Clearfield, Abraham; Celestian, Aaron J; Parise, John B; Hanson, Jonathan; ",Crystallization of sodium titanium silicate with sitinakite topology: Evolution from the sodium nonatitanate phase,Chemistry of materials,16,19,3659-3666,2004,ACS Publications
"Zhang, Jianzhong; Celestian, Aaron; Parise, John B; Xu, Hongwu; Heaney, Peter J; ","A new polymorph of eucryptite (LiAlSiO4), ε-eucryptite, and thermal expansion of α-and ε-eucryptite at high pressure",American Mineralogist,87,4,566-571,2002,Mineralogical Society of America
"Bonhomme, François; Alam, Todd M; Celestian, Aaron J; Tallant, David R; Boyle, Timothy J; Cherry, Brian R; Tissot, Ralph G; Rodriguez, Mark A; Parise, John B; Nyman, May; ",Tribasic lead maleate and lead maleate: Synthesis and structural and spectroscopic characterizations,Inorganic chemistry,44,21,7394-7402,2005,ACS Publications
"Celestian, Aaron J; Parise, John B; Smith, Ronald I; Toby, Brian H; Clearfield, Abraham; ",Role of the Hydroxyl− Water Hydrogen-Bond Network in Structural Transitions and Selectivity toward Cesium in Cs0. 38 (D1. 08H0. 54) SiTi2O7⊙(D0. 86H0. 14) 2O Crystalline Silicotitanate,Inorganic Chemistry,46,4,1081-1089,2007,American Chemical Society
"Clearfield, A; Tripathi, A; Medvedev, D; Celestian, AJ; Parise, JB; ",In situ type study of hydrothermally prepared titanates and silicotitanates,Journal of materials science,41,5,1325-1333,2006,Kluwer Academic Publishers Boston
"Celestian, Aaron J; Clearfield, Abraham; ",The origin of ion exchange selectivity in a porous framework titanium silicate,Journal of Materials Chemistry,17,46,4839-4842,2007,Royal Society of Chemistry
"Lee, Yongjae; Kim, Sun Jin; Bull, Ivor; Celestian, Aaron J; Parise, John B; Kao, Chi-Chang; Vogt, Thomas; ",Dehydration-induced water disordering in a synthetic potassium gallosilicate natrolite,Journal of the American Chemical Society,129,44,13744-13748,2007,ACS Publications
"Celestian, Aaron Joseph; ",Ion Exchange of (KAlGeO32. 8H2O) and (Na24Al24Ge24O96. 40H2O) Gismondine,,,,,2002,State University of New York at Stony Brook
"Celestian, Aaron J; Parise, John B; Tripathi, Akhilesh; Kvick, Åke; Vaughan, Gavin MB; ",(K4Li4) Al8Ge8O32· 8H2O: an Li^+-exchanged potassium aluminogermanate with the zeolite gismondine (GIS) topology,Crystal Structure Communications,59,8,i74-i76,2003,International Union of Crystallography
